force (kg),x_mag,y_mag,z_mag,,,,,
-0.31,-0.002366953,-0.002835677,-0.001303425,,-0.5642,-0.00250634,-0.003736343,-0.000523375
-0.315,-0.002366953,-0.002835677,-0.001303425,,-0.5733,-0.00250634,-0.003736343,-0.000523375
-0.32,-0.002366953,-0.002835677,-0.001303425,,-0.5824,-0.00250634,-0.003736343,-0.000523375
-0.325,-0.002366953,-0.002835677,-0.001303425,,-0.5915,-0.00250634,-0.003736343,-0.000523375
-0.33,-0.002366953,-0.002835677,-0.001303425,,-0.6006,-0.00250634,-0.003736343,-0.000523375
-0.335,-0.002366953,-0.002835677,-0.001303425,,-0.6097,-0.00250634,-0.003736343,-0.000523375
-0.34,-0.002366953,-0.002835677,-0.001303425,,-0.6188,-0.00250634,-0.003736343,-0.000523375
-0.345,-0.002366953,-0.002835677,-0.001303425,,-0.6279,-0.00250634,-0.003736343,-0.000523375
-0.35,-0.002366953,-0.002835677,-0.001303425,,-0.637,-0.00250634,-0.003736343,-0.000523375
-0.355,-0.002366953,-0.002835677,-0.001303425,,-0.6461,-0.00250634,-0.003736343,-0.000523375
-0.36,-0.002366953,-0.002835677,-0.001303425,,-0.6552,-0.00250634,-0.003736343,-0.000523375
-0.365,-0.002564199,-0.003780903,-0.000701844,,-0.6643,-0.002703586,-0.004681568,7.82E-05
-0.37,-0.002564199,-0.003780903,-0.000701844,,-0.6734,-0.002703586,-0.004681568,7.82E-05
-0.375,-0.002564199,-0.003780903,-0.000701844,,-0.6825,-0.002703586,-0.004681568,7.82E-05
-0.38,-0.002564199,-0.003780903,-0.000701844,,-0.6916,-0.002703586,-0.004681568,7.82E-05
-0.385,-0.003353183,-0.004726129,-0.001303425,,-0.7007,-0.00349257,-0.005626794,-0.000523375
-0.39,-0.00302444,-0.004050968,-0.001403689,,-0.7098,-0.003163827,-0.004951633,-0.000623639
-0.395,-0.00302444,-0.004591097,-0.000902371,,-0.7189,-0.003163827,-0.005491762,-0.000122321
-0.4,-0.002958691,-0.004050968,-0.001102898,,-0.728,-0.003098078,-0.004951633,-0.000322848
-0.405,-0.004405162,-0.004996194,-0.000902371,,-0.7371,-0.00454455,-0.005896859,-0.000122321
-0.41,-0.003353183,-0.004726129,-0.001604216,,-0.7462,-0.00349257,-0.005626794,-0.000824166
