force (kg),x_mag,y_mag,z_mag,,force (kg),,,
-0.205,0.001249225,0,-0.000401054,,-0.3731,-1.05E-05,0.002496746,-0.001189125
-0.21,0.001183476,-0.001350323,0.000401054,,-0.3822,-7.63E-05,0.001146424,-0.000387017
-0.215,0.002301204,-0.002160516,0.00030079,,-0.3913,0.001041459,0.00033623,-0.00048728
-0.22,0.001051979,-0.001485355,-0.000100263,,-0.4004,-0.000207766,0.001011392,-0.000888334
-0.225,0.001051979,-0.001080258,-0.000100263,,-0.4095,-0.000207766,0.001416488,-0.000888334
-0.23,0.001314974,0,-0.000601581,,-0.4186,5.52E-05,0.002496746,-0.001389652
-0.235,0.001972461,0,-0.000100263,,-0.4277,0.000712716,0.002496746,-0.000888334
-0.24,0.001972461,0,-0.000100263,,-0.4368,0.000712716,0.002496746,-0.000888334
-0.245,0.001972461,0,-0.000100263,,-0.4459,0.000712716,0.002496746,-0.000888334
-0.25,0.00249845,-0.001890452,0.000200527,,-0.455,0.001238705,0.000606295,-0.000587544
-0.255,0.002103958,-0.002295548,0.000100263,,-0.4641,0.000844213,0.000201198,-0.000687807
-0.26,0.002235455,-0.002295548,0,,-0.4732,0.000975711,0.000201198,-0.000788071
-0.265,0.002235455,-0.002295548,0,,-0.4823,0.000975711,0.000201198,-0.000788071
-0.27,0.002038209,-0.002025484,0.00030079,,-0.4914,0.000778465,0.000471263,-0.00048728
-0.275,0.002038209,-0.000270065,-0.00030079,,-0.5005,0.000778465,0.002226682,-0.001088861
-0.28,0.002301204,-0.000270065,-0.000701844,,-0.5096,0.001041459,0.002226682,-0.001489915
-0.285,0.002301204,-0.000270065,-0.000701844,,-0.5187,0.001041459,0.002226682,-0.001489915
-0.29,0.002301204,-0.000270065,-0.000701844,,-0.5278,0.001041459,0.002226682,-0.001489915
-0.295,0.002629948,-0.002160516,-0.000200527,,-0.5369,0.001370203,0.00033623,-0.000988598
-0.3,0.002629948,-0.002160516,-0.000200527,,-0.546,0.001370203,0.00033623,-0.000988598
-0.305,0.002629948,-0.002160516,-0.000200527,,-0.5551,0.001370203,0.00033623,-0.000988598
-0.31,0.003353183,-0.001080258,-0.000200527,,-0.5642,0.002093438,0.001416488,-0.000988598
-0.315,0.003353183,-0.001080258,-0.000200527,,-0.5733,0.002093438,0.001416488,-0.000988598
-0.32,0.003353183,-0.001080258,-0.000200527,,-0.5824,0.002093438,0.001416488,-0.000988598
-0.325,0.003353183,-0.001080258,-0.000200527,,-0.5915,0.002093438,0.001416488,-0.000988598
-0.33,0.003353183,-0.001080258,-0.000200527,,-0.6006,0.002093438,0.001416488,-0.000988598
