force (kg),x_mag,y_mag,z_mag,,
-0.2002,-0.00250897,0.000539682,0.002320097,,0.006412682
-0.2093,-0.001917232,0.000539682,0.002320097,,0.006412682
-0.2184,-0.001917232,0.000539682,0.002320097,,0.006412682
-0.2275,-0.00250897,0.000809746,0.002320097,,0.006682746
-0.2366,-0.001785734,0.000134585,0.002620887,,0.006007585
-0.2457,-0.001654237,0.000539682,0.002520624,,0.006412682
-0.2548,-0.002443221,0.000944779,0.002620887,,0.006817779
-0.2639,-0.002443221,0.000944779,0.002620887,,0.006817779
-0.273,-0.001654237,0.000539682,0.003523258,,0.006412682
-0.2821,-0.001719986,0.00040465,0.003723785,,0.00627765
-0.2912,-0.002114478,0.00040465,0.003122205,,0.00627765
-0.3003,-0.001917232,0.000674714,0.002219833,,0.006547714
-0.3094,-0.001719986,0.000674714,0.002520624,,0.006547714
-0.3185,-0.001719986,0.000674714,0.002520624,,0.006547714
-0.3276,-0.001259745,0.000134585,0.003021941,,0.006007585
-0.3367,-0.001259745,0.000134585,0.003021941,,0.006007585
-0.3458,-0.001259745,0.000134585,0.003021941,,0.006007585
-0.3549,-0.001259745,0.000134585,0.003021941,,0.006007585
-0.364,-0.002114478,0.000944779,0.00211957,,0.006817779
-0.3731,-0.001917232,0.001214843,0.002821414,,0.007087843
-0.3822,-0.001917232,0.001079811,0.002019306,,0.006952811
-0.3913,-0.001917232,0.000944779,0.003322731,,0.006817779
-0.4004,-0.001917232,0.000944779,0.003322731,,0.006817779
-0.4095,-0.001456991,0.000944779,0.002821414,,0.006817779
-0.4186,-0.001193996,0.001214843,0.003422995,,0.007087843
-0.4277,-0.000865253,0.00040465,0.003122205,,0.00627765
-0.4368,-0.001128248,0.001349875,0.002821414,,0.007222875
-0.4459,-0.001391242,0.001754972,0.002520624,,0.007627972
-0.455,-0.001391242,0.001214843,0.002019306,,0.007087843
-0.4641,-0.001391242,0.001349875,0.002219833,,0.007222875
-0.4732,-0.000405012,0.001214843,0.003021941,,0.007087843
-0.4823,-0.000733755,0.000944779,0.003523258,,0.006817779
-0.4914,-0.000602258,0.001079811,0.002921678,,0.006952811
-0.5005,-0.000602258,0.001349875,0.002520624,,0.007222875
-0.5096,-0.000405012,0.001890005,0.002520624,,0.007763005
-0.5187,-0.001128248,0.001349875,0.002921678,,0.007222875
-0.5278,-0.000602258,0.001754972,0.002620887,,0.007627972
-0.5369,-0.001128248,0.002025037,0.002721151,,0.007898037
-0.546,-0.000207766,0.001484908,0.003122205,,0.007357908
-0.5551,5.52E-05,0.001349875,0.003422995,,0.007222875
-0.5642,5.52E-05,0.001890005,0.003623522,,0.007763005
-0.5733,-0.000207766,0.001754972,0.002219833,,0.007627972
-0.5824,-0.000405012,0.002025037,0.002921678,,0.007898037
-0.5915,-1.05E-05,0.001890005,0.003122205,,0.007763005
-0.6006,-0.000273515,0.002295101,0.001919043,,0.008168101
-0.6097,-0.000273515,0.002295101,0.001919043,,0.008168101
-0.6188,-0.000273515,0.002295101,0.001919043,,0.008168101
-0.6279,-0.000273515,0.002970263,0.00211957,,0.008843263
-0.637,5.52E-05,0.002025037,0.002620887,,0.007898037
-0.6461,0.000252475,0.002430134,0.003021941,,0.008303134
-0.6552,-0.000142017,0.002295101,0.00211957,,0.008168101
-0.6643,-0.000470761,0.003105295,0.002520624,,0.008978295
-0.6734,-0.000470761,0.003105295,0.002520624,,0.008978295
-0.6825,-0.000470761,0.003105295,0.002520624,,0.008978295
-0.6916,0.000186726,0.00283523,0.002721151,,0.00870823
-0.7007,0.000186726,0.00283523,0.002721151,,0.00870823
-0.7098,0.000186726,0.00283523,0.002721151,,0.00870823
-0.7189,0.000186726,0.00283523,0.002721151,,0.00870823
-0.728,0.000975711,0.002160069,0.002821414,,0.008033069
-0.7371,0.000975711,0.002160069,0.002821414,,0.008033069
-0.7462,0.001304454,0.00283523,0.003021941,,0.00870823
-0.7553,0.001304454,0.00283523,0.003021941,,0.00870823
-0.7644,0.003934402,0.006481101,0.001919043,,0.012354101
-0.7735,0.003934402,0.006481101,0.001919043,,0.012354101
-0.7826,0.001435951,0.01120723,0.001517989,,0.01708023
-0.7917,0.001435951,0.01120723,0.001517989,,0.01708023
-0.8008,0.001435951,0.01120723,0.001517989,,0.01708023
-0.8099,0.001435951,0.01120723,0.001517989,,0.01708023
-0.819,0.001435951,0.01120723,0.001517989,,0.01708023
-0.8281,0.007353334,0.010126972,0.001818779,,0.015999972
-0.8372,0.008208067,0.006346069,0.002320097,,0.012219069
-0.8463,0.008208067,0.006346069,0.002320097,,0.012219069
-0.8554,0.008208067,0.006346069,0.002320097,,0.012219069
-0.8645,0.004854883,0.012017424,0.002721151,,0.017890424
-0.8736,0.003211166,0.013907875,0.001818779,,0.019780875
-0.8827,0.003211166,0.013907875,0.001818779,,0.019780875
-0.8918,0.004197396,0.012557553,0.00242036,,0.018430553
-0.9009,0.010180527,0.006076005,0.002520624,,0.011949005
-0.91,0.007945072,0.009181746,0.001618252,,0.015054746
-0.9191,0.003671407,0.011747359,0.001818779,,0.017620359
-0.9282,0.008471061,0.012692585,0.001517989,,0.018565585
-0.9373,0.011232506,0.006211037,0.002821414,,0.012084037
-0.9464,0.011232506,0.006211037,0.002821414,,0.012084037
-0.9555,0.009654538,0.010397037,0.001718516,,0.016270037
-0.9646,0.00551237,0.010397037,0.00211957,,0.016270037
-0.9737,0.006235606,0.011477295,0.00211957,,0.017350295
-0.9828,0.006301355,0.010937166,0.001417726,,0.016810166
-0.9919,0.007156088,0.012422521,0.001517989,,0.018295521
-1.001,0.008010821,0.010126972,0.00242036,,0.015999972
-1.0101,0.00853681,0.010532069,0.00242036,,0.016405069
-1.0192,0.008142318,0.009451811,0.00242036,,0.015324811
-1.0283,0.007419082,0.00999194,0.00211957,,0.01586494
-1.0374,0.010114779,0.009181746,0.001417726,,0.015054746
-1.0465,0.010114779,0.009181746,0.001417726,,0.015054746
-1.0556,0.002948171,0.007426327,0.003021941,,0.013299327
-1.0647,0.002948171,0.007426327,0.003021941,,0.013299327
-1.0738,0.002948171,0.007426327,0.003021941,,0.013299327
-1.0829,0.002948171,0.007426327,0.003021941,,0.013299327
-1.092,0.003868653,0.006346069,0.002219833,,0.012219069
-1.1011,0.003868653,0.006346069,0.002219833,,0.012219069
-1.1102,0.003408412,0.006616134,0.002721151,,0.012489134
-1.1193,0.004657637,0.007831424,0.002721151,,0.013704424
-1.1284,0.004657637,0.007831424,0.002721151,,0.013704424
-1.1375,0.004197396,0.007561359,0.00242036,,0.013434359
-1.1466,0.005315124,0.006616134,0.002721151,,0.012489134
-1.1557,0.005315124,0.006616134,0.002721151,,0.012489134
-1.1648,0.005315124,0.006616134,0.002721151,,0.012489134
-1.1739,0.005315124,0.006616134,0.002721151,,0.012489134
-1.183,0.003868653,0.007426327,0.00242036,,0.013299327
-1.1921,0.003868653,0.007426327,0.00242036,,0.013299327
-1.2012,0.005446622,0.007831424,0.001618252,,0.013704424
-1.2103,0.005446622,0.007831424,0.001618252,,0.013704424
-1.2194,0.004131648,0.008371553,0.00242036,,0.014244553
-1.2285,0.004854883,0.007966456,0.002219833,,0.013839456
-1.2376,0.006695847,0.008371553,0.002219833,,0.014244553
-1.2467,0.006695847,0.008371553,0.002219833,,0.014244553
-1.2558,0.006695847,0.008371553,0.002219833,,0.014244553
-1.2649,0.006695847,0.008371553,0.002219833,,0.014244553
-1.274,0.004723386,0.008371553,0.00242036,,0.014244553
-1.2831,0.006630098,0.008911682,0.002520624,,0.014784682
-1.2922,0.006630098,0.008911682,0.002520624,,0.014784682
-1.3013,0.006630098,0.008911682,0.002520624,,0.014784682
-1.3104,0.006235606,0.009721875,0.002620887,,0.015594875
-1.3195,0.006893093,0.00877665,0.001919043,,0.01464965
-1.3286,0.006301355,0.009046714,0.001818779,,0.014919714
-1.3377,0.006893093,0.008101488,0.002821414,,0.013974488
-1.3468,0.007353334,0.010262005,0.002721151,,0.016135005
-1.3559,0.006169857,0.009181746,0.002320097,,0.015054746
-1.365,0.007221836,0.008911682,0.001718516,,0.014784682
-1.3741,0.007616328,0.010937166,0.002219833,,0.016810166
-1.3832,0.007879323,0.009046714,0.001517989,,0.014919714
-1.3923,0.008010821,0.010532069,0.002721151,,0.016405069
-1.4014,0.007156088,0.010802134,0.001818779,,0.016675134
-1.4105,0.008010821,0.011072198,0.00211957,,0.016945198
-1.4196,0.008273815,0.011342263,0.002320097,,0.017215263
-1.4287,0.008273815,0.011342263,0.002320097,,0.017215263
-1.4378,0.007747826,0.010397037,0.001517989,,0.016270037
-1.4469,0.008799805,0.010667101,0.002320097,,0.016540101
-1.456,0.009391543,0.010937166,0.001919043,,0.016810166
-1.4651,0.009391543,0.010937166,0.001919043,,0.016810166
-1.4742,0.008799805,0.011072198,0.00211957,,0.016945198
-1.4833,0.008273815,0.011342263,0.001417726,,0.017215263
-1.4924,0.00853681,0.011072198,0.002019306,,0.016945198
-1.5015,0.009588789,0.010532069,0.002320097,,0.016405069
-1.5106,0.009588789,0.010532069,0.002320097,,0.016405069
-1.5197,0.0090628,0.012152456,0.001517989,,0.018025456
-1.5288,0.0090628,0.012152456,0.001517989,,0.018025456
-1.5379,0.0090628,0.012152456,0.001517989,,0.018025456
-1.547,0.0090628,0.012152456,0.001517989,,0.018025456
-1.5561,0.0090628,0.012152456,0.001517989,,0.018025456
-1.5652,0.0090628,0.012152456,0.001517989,,0.018025456
-1.5743,0.009917533,0.012557553,0.001718516,,0.018430553
-1.5834,0.009325794,0.012422521,0.001618252,,0.018295521
-1.5925,0.009325794,0.012422521,0.001618252,,0.018295521
-1.6016,0.010772266,0.012017424,0.00211957,,0.017890424
-1.6107,0.009720286,0.014583037,0.001217199,,0.020456037
-1.6198,0.010640768,0.012152456,0.002019306,,0.018025456
-1.6289,0.010640768,0.012152456,0.002019306,,0.018025456
-1.638,0.010706517,0.01296265,0.002320097,,0.01883565
-1.6471,0.010706517,0.01296265,0.002320097,,0.01883565
-1.6562,0.010706517,0.01296265,0.002320097,,0.01883565
-1.6653,0.010706517,0.01296265,0.002320097,,0.01883565
-1.6744,0.010706517,0.01296265,0.002320097,,0.01883565
-1.6835,0.012415983,0.013232714,0.002320097,,0.019105714
-1.6926,0.012415983,0.013232714,0.002320097,,0.019105714
-1.7017,0.011495501,0.014312972,0.001116935,,0.020185972
-1.7108,0.011758496,0.014718069,0.002019306,,0.020591069
-1.7199,0.011758496,0.014718069,0.002019306,,0.020591069
-1.729,0.012087239,0.01539323,0.00242036,,0.02126623
-1.7381,0.012087239,0.014042908,0.001317462,,0.019915908
-1.7472,0.012941972,0.014042908,0.001317462,,0.019915908
-1.7563,0.012941972,0.014042908,0.001317462,,0.019915908
-1.7654,0.012284485,0.014718069,0.001618252,,0.020591069
-1.7745,0.012284485,0.014718069,0.001618252,,0.020591069
-1.7836,0.013270716,0.015933359,0.002320097,,0.021806359
-1.7927,0.013270716,0.015933359,0.002320097,,0.021806359
-1.8018,0.013204967,0.016608521,0.001217199,,0.022481521
-1.8109,0.013139218,0.015933359,0.001217199,,0.021806359
-1.82,0.013862454,0.016068392,0.001116935,,0.021941392
